statefips,countyfips,target
-1.7669194596077828,0.2287929492308504,2.5
-1.7669194596077828,0.2511164338617944,2.57
-1.7669194596077828,0.2730774357526321,2.27
-1.7669194596077828,0.29468921200603754,2.33
-1.7669194596077828,0.3159642761815078,2.48
-1.7669194596077828,0.3369144539321443,2.42
-1.7669194596077828,0.3575509334761915,2.34
-1.7669194596077828,0.3778843114723592,2.62
-1.7669194596077828,0.3979246347957856,2.48
-1.7669194596077828,0.41768143864960566,2.5
-1.7669194596077828,0.437163781393963,2.57
-1.7669194596077828,0.45638027642838047,2.56
-1.7669194596077828,0.4753391214238404,2.62
-1.7669194596077828,0.4940481251664976,2.16
-1.7669194596077828,0.5125147322451269,2.49
-1.7669194596077828,0.5307460457883441,2.36
-1.7669194596077828,0.5487488484349535,2.51
-1.7669194596077828,0.5665296217008319,2.66
-1.7669194596077828,0.5840945638883439,2.66
-1.7669194596077828,0.6014496066689001,2.48
-1.7669194596077828,0.6186004304557555,2.53
-1.7669194596077828,0.6355524786722138,2.81
-1.7669194596077828,0.6523109710098142,2.37
-1.7669194596077828,0.6688809157617327,2.4
-1.7669194596077828,0.6852671213083008,2.43
-1.7669194596077828,0.7014742068241603,2.44
-1.7669194596077828,0.7175066122699557,2.55
-1.7669194596077828,0.7333686077256167,2.55
-1.7669194596077828,0.7490643021169818,2.36
-1.7669194596077828,0.7645976513828384,2.8
-1.8599429786351462,-2.4041020414735232,3.67
-1.8599429786351462,-2.082276702982297,2.42
-1.8599429786351462,-1.86874298697019,2.7
-1.8599429786351462,-1.704660426620146,2.5
-1.8599429786351462,-1.5696752228679625,3.02
-1.8599429786351462,-1.454108971920245,2.78
-1.8599429786351462,-1.401817716934122,2.14
-1.8599429786351462,-1.352535328459298,2.75
-1.8599429786351462,-1.2615814172353588,2.43
-1.8599429786351462,-1.1789959480865158,3.08
-1.8599429786351462,-1.1031954733446314,2.49
-1.8599429786351462,-1.0330205937810208,2.87
-1.8599429786351462,-0.9675949095089756,3.04
-1.8599429786351462,-0.9062385567533586,2.3
-1.8599429786351462,-0.8484126810366042,2.77
-1.677753278054193,-2.4041020414735232,2.78
-1.677753278054193,-2.082276702982297,3.06
-1.677753278054193,-1.86874298697019,2.36
-1.677753278054193,-1.704660426620146,2.55
-1.677753278054193,-1.5696752228679625,2.45
-1.677753278054193,-1.454108971920245,3.04
-1.677753278054193,-1.352535328459298,2.82
-1.677753278054193,-1.2615814172353588,2.55
-1.677753278054193,-1.1789959480865158,2.69
-1.677753278054193,-1.1031954733446314,3.17
-1.677753278054193,-1.0330205937810208,2.92
-1.677753278054193,-0.9675949095089756,2.47
-1.677753278054193,-0.9062385567533586,3.61
-1.677753278054193,-0.8484126810366042,2.23
-1.677753278054193,-0.7936823851984369,3.21
-1.677753278054193,-0.7416911983902218,3.19
-1.677753278054193,-0.6921429962693284,2.34
-1.677753278054193,-0.6447888926618692,2.24
-1.677753278054193,-0.5994175387152672,3.02
-1.677753278054193,-0.5558478131536311,3.35
-1.677753278054193,-0.5139232255614766,2.41
-1.677753278054193,-0.4735075697184635,2.29
-1.677753278054193,-0.4344815042830214,2.51
-1.677753278054193,-0.3967398316991988,3.32
-1.677753278054193,-0.36018930990811704,2.32
-1.677753278054193,-0.3247468756213473,2.82
-1.677753278054193,-0.290338189061288,3.26
-1.677753278054193,-0.2568964323718745,2.74
-1.677753278054193,-0.2243613100898303,2.38
-1.677753278054193,-0.19267821196853815,3.04
-1.677753278054193,-0.1617975073017256,2.67
-1.677753278054193,-0.13167394655485581,2.26
-1.677753278054193,-0.10226615117333404,3.24
-1.677753278054193,-0.07353617631883969,2.76
-1.677753278054193,-0.045449134289415924,3.33
-1.677753278054193,-0.017972868723021947,3.33
-1.677753278054193,0.008922328472556626,2.86
-1.677753278054193,0.035263964060709425,2.32
-1.677753278054193,0.061077559721026665,3.16
-1.677753278054193,0.08638684209709599,2.51
-1.677753278054193,0.11121391039132836,2.85
-1.677753278054193,0.13557938463830435,2.92
-1.677753278054193,0.15950253728775815,2.95
-1.677753278054193,0.1830014103175806,2.72
-1.677753278054193,0.20609291975843996,2.54
-1.677753278054193,0.2287929492308504,2.38
-1.677753278054193,0.2511164338617944,2.26
-1.677753278054193,0.2730774357526321,2.89
-1.677753278054193,0.29468921200603754,2.59
-1.677753278054193,0.3159642761815078,3.08
-1.677753278054193,0.3369144539321443,2.95
-1.677753278054193,0.3575509334761915,2.63
-1.677753278054193,0.3778843114723592,2.38
-1.677753278054193,0.3979246347957856,3.36
-1.677753278054193,0.41768143864960566,2.28
-1.677753278054193,0.437163781393963,3.08
-1.677753278054193,0.45638027642838047,2.77
-1.677753278054193,0.4753391214238404,2.87
-1.5084518991698619,-2.4041020414735232,2.98
-1.5084518991698619,-2.082276702982297,2.56
-1.5084518991698619,-1.86874298697019,2.63
-1.5084518991698619,-1.704660426620146,2.25
-1.5084518991698619,-1.5696752228679625,2.3
-1.5084518991698619,-1.454108971920245,2.19
-1.5084518991698619,-1.352535328459298,2.45
-1.5084518991698619,-1.3058911632407655,2.57
-1.5084518991698619,-1.2615814172353588,2.21
-1.5084518991698619,-1.1789959480865158,2.63
-1.5084518991698619,-1.1031954733446314,2.13
-1.5084518991698619,-1.0330205937810208,2.78
-1.5084518991698619,-0.9675949095089756,2.46
-1.5084518991698619,-0.9062385567533586,3.78
-1.5084518991698619,-0.8484126810366042,2.15
-1.5084518991698619,-0.7936823851984369,2.41
-1.5084518991698619,-0.7416911983902218,2.3
-1.5084518991698619,-0.6921429962693284,2.64
-1.5084518991698619,-0.6447888926618692,2.76
-1.5084518991698619,-0.5994175387152672,2.94
-1.5084518991698619,-0.5558478131536311,2.82
-1.5084518991698619,-0.5139232255614766,2.6
-1.5084518991698619,-0.4735075697184635,2.21
-1.5084518991698619,-0.4344815042830214,2.72
-1.5084518991698619,-0.3967398316991988,2.14
-1.5084518991698619,-0.36018930990811704,2.69
-1.5084518991698619,-0.3247468756213473,2.34
-1.5084518991698619,-0.290338189061288,2.18
-1.5084518991698619,-0.2568964323718745,2.08
-1.5084518991698619,-0.2243613100898303,2.15
-1.5084518991698619,-0.19267821196853815,2.44
-1.5084518991698619,-0.1617975073017256,2.45
-1.5084518991698619,-0.13167394655485581,2.35
-1.5084518991698619,-0.10226615117333404,2.38
-1.5084518991698619,-0.07353617631883969,2.38
-1.5084518991698619,-0.045449134289415924,2.47
-1.5084518991698619,-0.017972868723021947,2.36
-1.5084518991698619,0.008922328472556626,2.24
-1.5084518991698619,0.035263964060709425,2.61
-1.5084518991698619,0.061077559721026665,2.43
-1.5084518991698619,0.08638684209709599,1.91
-1.5084518991698619,0.11121391039132836,2.6
-1.5084518991698619,0.13557938463830435,2.44
-1.5084518991698619,0.15950253728775815,2.4
-1.5084518991698619,0.1830014103175806,2.67
-1.5084518991698619,0.20609291975843996,2.42
-1.5084518991698619,0.2287929492308504,2.31
-1.5084518991698619,0.2511164338617944,2.2
-1.5084518991698619,0.2730774357526321,2.52
-1.5084518991698619,0.29468921200603754,2.28
-1.5084518991698619,0.3159642761815078,2.44
-1.5084518991698619,0.3369144539321443,2.49
-1.5084518991698619,0.3575509334761915,2.48
-1.5084518991698619,0.3778843114723592,2.49
-1.5084518991698619,0.3979246347957856,2.46
-1.5084518991698619,0.41768143864960566,2.39
-1.5084518991698619,0.437163781393963,2.15
-1.5084518991698619,0.45638027642838047,2.31
-1.5084518991698619,0.4753391214238404,2.44
-1.5084518991698619,0.4940481251664976,2.82
-1.5084518991698619,0.5125147322451269,2.42
-1.5084518991698619,0.5307460457883441,2.3
-1.5084518991698619,0.5487488484349535,2.8
-1.5084518991698619,0.5665296217008319,2.6
-1.427454894197287,-2.4041020414735232,2.76
-1.427454894197287,-2.082276702982297,2.51
-1.427454894197287,-1.86874298697019,2.46
-1.427454894197287,-1.704660426620146,2.4
-1.427454894197287,-1.5696752228679625,2.56
-1.427454894197287,-1.454108971920245,2.45
-1.427454894197287,-1.352535328459298,2.49
-1.427454894197287,-1.2615814172353588,2.53
-1.2713085506216641,-2.4041020414735232,2.22
-1.348483344852214,-2.4041020414735232,2.71
-1.348483344852214,-2.082276702982297,2.63
-1.348483344852214,-1.86874298697019,2.52
-1.195744450358931,-2.4041020414735232,2.46
-1.195744450358931,-2.082276702982297,3.0
-1.195744450358931,-1.86874298697019,2.54
